Account Name,First Name,Last Name,Email
Anaheim Ducks,Ryan,Getzlaf,getzlaf@ducks.notreal
Arizona Coyotes,Oliver,Ekman-Larsson,oliver@coyotes.notreal
Buffalo Sabres,Jack,Eichel,eichel@sabres.notreal
Calgary Flames,Mark,Giordano,giordano@flames.notreal
Carolina Hurricanes,Jordan,Staal,staal@canes.notreal
Chicago Blackhawks,Jonathan,Toews,toews@hawks.notreal
Colorado Avalanche,Gabriel,Landeskog,landeskog@themandeskog.notreal
Columbus Blue Jackets,Nick,Foligno,foligno@blues.notreal
Dallas Stars,Jamie,Benn,benn@stars.notreal
Detroit Red Wings,Marian,Hossa,hossa@redwings.notreal
Edmonton Oilers,Connor,McDavid,mcdavid@isntcrosby.notreal
Florida Panthers,Aleksander,Barkov,barkov@pathers.notreal
Los Angeles Kings,Anze,Kopitar,kopitar@lakings.notreal
Minnesota Wild,Mikko,Koivu,lkoivu@minnie.notreal
Montreal Canadiens,Shea,Weber,weber@habs.notreal
Nashville Predators,Roman,Josi,josi@preds.notreal
New Jersey Devils,Andy,Greene,green@njd.notreal
New York Islanders,Anders,Lee,anders@forgotnyi.notreal
New York Rangers,Henrik,Lundqvist,kinghenrik@nyr.notreal
Ottowa Senators,Ron,Hainsey,hainsey@sens.nocaptain
Philadelphia Flyers,Claude,Giroux,giroux@gritty.notreal
Pittsburgh Penguins,Sidney,Crosby,crosby@bestever.notreal
St. Louis Blues,Alex,Pietrangelo,pietrangelo@blues.notreal
San Jose Sharks,Logan,Couture,couture@sharks.notreal
Seattle Kraken,Jerry,Bruckheimer,noplayersyet@kraken.notreal
Tampa Bay Lightning,Steven,Stamkos,stamkos@tblightning.notreal
Toronto Maple Leafs,John,Tavares,tavares@nottoews.notreal
Vancouver Canucks,Bo,Horvat,horvat@canucks.notreal
Vegas Golden Knights,Marc-Andre,Fleury,maf@comebacktopgh.notreal
Washington Capitals,Alexander,Ovechkin,ovie@isanagent.notreal
Winnipeg Jets,Blake,Wheeler,wheeler@gustinfave.notreal
